Date,Category,Description,Amount,Type
2024-10-01,Food,Grocery,50.75,Expense
2024-10-02,Rent,Monthly Rent,1200.0,Expense
2024-10-02,Utilities,Electricity Bill,60.0,Expense
2024-10-03,Food,Dinner,30.0,Expense
2024-10-04,Transport,Bus Ticket,2.75,Expense
2024-10-05,Food,Breakfast,15.0,Expense
2024-10-06,Income,Salary,2000.0,Income
2024-10-10,Income,Freelance Work,500.0,Income
2024-10-12,Utilities,Water Bill,40.0,Expense
2024-10-18,Transport,Taxi,25.0,Expense
2024-10-20,Income,Investment Return,200.0,Income
2024-10-25,Food,Groceries,80.0,Expense
2024-10-28,Rent,Monthly Rent,1200.0,Expense
2025-12-20,Utilities,Insurance,700.0,Expense
2024-11-01,Food,Grocery,60.0,Expense
2024-11-02,Rent,Monthly Rent,1200.0,Expense
2024-11-05,Utilities,Internet Bill,70.0,Expense
2024-11-07,Transport,Subway Ticket,3.5,Expense
2024-11-10,Food,Lunch,25.0,Expense
2024-11-15,Income,Salary,2100.0,Income
2024-11-17,Income,Freelance Work,600.0,Income
2024-11-20,Food,Groceries,90.0,Expense
2024-11-22,Utilities,Gas Bill,50.0,Expense
2024-11-28,Rent,Monthly Rent,1200.0,Expense
2024-12-01,Food,Grocery,70.0,Expense
2024-12-02,Rent,Monthly Rent,1250.0,Expense
2024-12-06,Utilities,Electricity Bill,65.0,Expense
2024-12-09,Transport,Uber,20.0,Expense
2024-12-10,Food,Dinner Out,45.0,Expense
2024-12-14,Income,Salary,2200.0,Income
2024-12-18,Income,Freelance Project,700.0,Income
2024-12-21,Food,Groceries,85.0,Expense
2024-12-22,Utilities,Water Bill,55.0,Expense
2024-12-28,Rent,Monthly Rent,1250.0,Expense
2025-01-05,Food,Groceries,75.0,Expense
2025-01-07,Rent,Monthly Rent,1300.0,Expense
2025-01-10,Transport,Bus Pass,50.0,Expense
2025-01-11,Utilities,Internet Bill,70.0,Expense
2025-01-14,Food,Lunch Out,30.0,Expense
2025-01-15,Income,Salary,2300.0,Income
2025-01-17,Income,Stock Dividend,300.0,Income
2025-01-20,Food,Dinner,40.0,Expense
2025-01-22,Utilities,Gas Bill,60.0,Expense
2025-01-28,Rent,Monthly Rent,1300.0,Expense

